Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Bangadilly,NSW-0066,N/A,New South Wales,2577,-34.43321718,150.1273897,Hume,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Bangalow,NSW-0067,N/A,New South Wales,2479,-28.68572063,153.5248847,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Banjo Paterson Way,NSW-0068,Between Cumnock and Yeoval,New South Wales,2867,-32.83679616,148.7079998,Calare,Cabonne,Central West,Outer Regional Australia,25 February 2016
Bannister,NSW-0069,N/A,New South Wales,2580,-34.59443321,149.4883758,Hume,Upper Lachlan Shire,Southern Inland,Inner Regional Australia,25 February 2016
Baradine,NSW-0070,N/A,New South Wales,2396,-30.94919724,149.065941,Parkes,Warrumbungle Shire,Orana,Remote Australia,25 February 2016
Barellan,NSW-0071,N/A,New South Wales,2665,-34.28554888,146.5720637,Riverina,Narrandera,Riverina,Outer Regional Australia,25 February 2016
Barham,NSW-0072,N/A,New South Wales,2732,-35.62945528,144.129194,Farrer,Wakool,Murray,Outer Regional Australia,25 February 2016
Barkers Vale,NSW-0073,N/A,New South Wales,2474,-28.530088,153.122727,Page,Kyogle,Northern Rivers,Inner Regional Australia,25 February 2016
Barlow Road,NSW-0074,N/A,New South Wales,2380,-31.00796715,150.1475838,New England,Gunnedah,Northern Inland,Outer Regional Australia,25 February 2016
Barmedman,NSW-0075,N/A,New South Wales,2668,-34.14339763,147.3868055,Riverina,Bland,Central West,Outer Regional Australia,25 February 2016
Barraba,NSW-0076,N/A,New South Wales,2347,-30.37846199,150.6101391,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Barragga Bay,NSW-0077,N/A,New South Wales,2546,-36.5040378,150.0543879,Eden-Monaro,Bega Valley,South Coast,Outer Regional Australia,25 February 2016
Barrier Highway,NSW-0078,Between Broken Hill and Wilcannia,New South Wales,2880,-31.74359668,142.4126032,Farrer,Unincorporated NSW,Far West,Remote Australia,25 February 2016
Barrier Highway,NSW-0079,Between Nyngan and Cobar,New South Wales,2835,-31.540925,146.398949,Parkes,Bogan,Orana,Very Remote Australia,25 February 2016
Barrier Highway,NSW-0080,Between Wilcannia and Cobar,New South Wales,2835,-31.51735556,144.4878111,Parkes,Cobar,Orana,Very Remote Australia,25 February 2016
Barrington,NSW-0081,N/A,New South Wales,2422,-31.9729654,151.9090412,Lyne,Gloucester,Hunter,Outer Regional Australia,25 February 2016
