Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Blayney,NSW-0165,N/A,New South Wales,2799,-33.54318218,149.2578077,Calare,Blayney,Central West,Inner Regional Australia,25 February 2016
Blowering Dam,NSW-0166,N/A,New South Wales,2720,-35.51034071,148.2679922,Riverina,Tumut Shire,Southern Inland,Outer Regional Australia,25 February 2016
Blue Mountains,NSW-0167,N/A,New South Wales,2787,-33.65228816,150.4426657,Macquarie,Blue Mountains,Sydney,Inner Regional Australia,25 February 2016
Blueys Beach,NSW-0168,N/A,New South Wales,2428,-32.34781881,152.5364602,Paterson,Great Lakes,Hunter,Inner Regional Australia,25 February 2016
Boambolo,NSW-0169,N/A,New South Wales,2582,-34.98814896,148.8843619,Hume,Yass Valley,Southern Inland,Inner Regional Australia,25 February 2016
Boat Harbour,NSW-0170,N/A,New South Wales,2316,-32.78266723,152.1090078,Paterson,Port Stephens,Hunter,Inner Regional Australia,25 February 2016
Bobin,NSW-0171,N/A,New South Wales,2429,-31.71063699,152.2820384,Lyne,Greater Taree,Mid North Coast,Outer Regional Australia,25 February 2016
Bobs Farm,NSW-0172,N/A,New South Wales,2316,-32.76770274,152.0129393,Paterson,Port Stephens,Hunter,Inner Regional Australia,25 February 2016
Bobundara,NSW-0173,N/A,New South Wales,2630,-36.4858981,148.9933236,Eden-Monaro,Snowy River,Southern Inland,Inner Regional Australia,25 February 2016
Boco,NSW-0174,N/A,New South Wales,2631,-36.59891322,149.1377211,Eden-Monaro,Bombala,Southern Inland,Outer Regional Australia,25 February 2016
Bodalla,NSW-0175,N/A,New South Wales,2545,-36.08822872,150.0495151,Eden-Monaro,Eurobodalla,South Coast,Outer Regional Australia,25 February 2016
Bodangora,NSW-0176,N/A,New South Wales,2820,-32.45528025,148.9969781,Parkes,Wellington,Orana,Outer Regional Australia,25 February 2016
Bogan,NSW-0177,N/A,New South Wales,2825,-31.56436375,147.1944429,Parkes,Bogan,Orana,Remote Australia,25 February 2016
Bogan River,NSW-0178,N/A,New South Wales,2869,-32.48179848,147.9314427,Parkes,Narromine,Orana,Outer Regional Australia,25 February 2016
Bogandillon Swamp,NSW-0179,N/A,New South Wales,2877,-33.3049403,147.271244,Parkes,Lachlan,Central West,Outer Regional Australia,25 February 2016
Bogee,NSW-0180,N/A,New South Wales,2849,-32.98695242,150.1159045,Calare,Lithgow,Central West,Outer Regional Australia,25 February 2016
Boggabilla,NSW-0181,N/A,New South Wales,2409,-28.60230779,150.3592007,Parkes,Moree Plains,Northern Inland,Outer Regional Australia,25 February 2016
Boggabri,NSW-0182,N/A,New South Wales,2382,-30.70328817,150.0447674,Parkes,Narrabri,Northern Inland,Outer Regional Australia,25 February 2016
Bolaro,NSW-0183,N/A,New South Wales,2629,-35.91772272,148.8472748,Eden-Monaro,Cooma-Monaro,Southern Inland,Outer Regional Australia,25 February 2016
Bolwarra Heights,NSW-0184,N/A,New South Wales,2320,-32.70069943,151.5842838,Paterson,Maitland,Hunter,Major Cities of Australia,25 February 2016
Bombala,NSW-0185,N/A,New South Wales,2632,-36.91202421,149.237474,Eden-Monaro,Bombala,Southern Inland,Outer Regional Australia,25 February 2016
Bombowlee,NSW-0186,N/A,New South Wales,2720,-35.29696519,148.2299913,Riverina,Tumut Shire,Southern Inland,Inner Regional Australia,25 February 2016
Bomen,NSW-0187,N/A,New South Wales,2650,-35.07302405,147.4101789,Riverina,Wagga Wagga,Riverina,Inner Regional Australia,25 February 2016
Bonalbo,NSW-0188,N/A,New South Wales,2469,-28.7373158,152.6230686,Page,Kyogle,Northern Rivers,Outer Regional Australia,25 February 2016
Bondo State Forest,NSW-0189,N/A,New South Wales,2611,-35.29115797,148.5711611,Riverina,Tumut Shire,Southern Inland,Outer Regional Australia,25 February 2016
Bonnells Bay,NSW-0190,N/A,New South Wales,2264,-33.101153,151.518535,Charlton,Lake Macquarie,Hunter,Major Cities of Australia,25 February 2016
Bonny Hills,NSW-0191,N/A,New South Wales,2445,-31.5801506,152.8292755,Lyne,Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,25 February 2016
Bonshaw,NSW-0192,N/A,New South Wales,2361,-29.04755198,151.2776167,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Goobarragandra,NSW-0193,N/A,New South Wales,2720,-35.39255935,148.4280923,Riverina,Tumut Shire,Southern Inland,Outer Regional Australia,25 February 2016
Bookham,NSW-0194,N/A,New South Wales,2582,-34.81314908,148.6396162,Hume,Yass Valley,Southern Inland,Inner Regional Australia,25 February 2016
Boolambayte,NSW-0195,N/A,New South Wales,2423,-32.40394278,152.2783898,Paterson,Great Lakes,Hunter,Inner Regional Australia,25 February 2016
Booligal,NSW-0196,N/A,New South Wales,2711,-33.87001578,144.8836901,Farrer,Hay,Riverina,Remote Australia,25 February 2016
Booligal Road,NSW-0197,N/A,New South Wales,2711,-33.98040414,145.213359,Riverina,Carrathool,Riverina,Remote Australia,25 February 2016
Boomi,NSW-0198,N/A,New South Wales,2405,-28.72181849,149.5800807,Parkes,Moree Plains,Northern Inland,Remote Australia,25 February 2016
Boomi Creek,NSW-0199,N/A,New South Wales,2476,-28.48338873,152.5989897,Page,Kyogle,Northern Rivers,Outer Regional Australia,25 February 2016
Boomi West,NSW-0200,N/A,New South Wales,2405,-28.7258258,149.5367241,Parkes,Moree Plains,Northern Inland,Remote Australia,25 February 2016
Boona Mount,NSW-0201,N/A,New South Wales,2877,-32.62901213,147.204345,Parkes,Lachlan,Central West,Remote Australia,25 February 2016
Boona Road,NSW-0202,N/A,New South Wales,2877,-32.85387343,147.2270872,Parkes,Lachlan,Central West,Remote Australia,25 February 2016
Boorabee Park,NSW-0203,N/A,New South Wales,2480,-28.71671605,153.0739178,Page,Kyogle,Northern Rivers,Inner Regional Australia,25 February 2016
Booral,NSW-0204,N/A,New South Wales,2425,-32.47481206,151.9593443,Paterson,Great Lakes,Hunter,Inner Regional Australia,25 February 2016
Boorolong,NSW-0205,N/A,New South Wales,2350,-30.32009339,151.5345704,New England,Armidale Dumaresq,Northern Inland,Outer Regional Australia,25 February 2016
Booroorban,NSW-0206,N/A,New South Wales,2710,-34.93264187,144.7629537,Farrer,Conargo,Murray,Outer Regional Australia,25 February 2016
Boorowa,NSW-0207,N/A,New South Wales,2586,-34.39600602,148.7351566,Hume,Boorowa,Southern Inland,Inner Regional Australia,25 February 2016
Borambola,NSW-0208,N/A,New South Wales,2650,-35.16779349,147.6154315,Riverina,Wagga Wagga,Riverina,Inner Regional Australia,25 February 2016
Boreamble Road,NSW-0209,Between Weja and Kikoira,New South Wales,2669,-33.5200912,146.6814903,Parkes,Lachlan,Central West,Remote Australia,25 February 2016
Boree Creek,NSW-0210,N/A,New South Wales,2652,-35.10925468,146.6063003,Farrer,Urana,Murray,Outer Regional Australia,25 February 2016
Boree Creek Kywong Road,NSW-0211,Between Boree Creek and Sturt Highway,New South Wales,2652,-35.05622329,146.6916246,Riverina,Narrandera,Riverina,Outer Regional Australia,25 February 2016
Borenore,NSW-0212,N/A,New South Wales,2800,-33.24523094,148.9708642,Calare,Cabonne,Central West,Inner Regional Australia,25 February 2016
Boro,NSW-0213,N/A,New South Wales,2580,-35.14439154,149.6610731,Eden-Monaro,Palerang,Southern Inland,Inner Regional Australia,25 February 2016
Boro Creek Valley,NSW-0214,N/A,New South Wales,2580,-35.11333324,149.7810967,Hume,Goulburn Mulwaree,Southern Inland,Outer Regional Australia,25 February 2016
Bottle Creek,NSW-0215,N/A,New South Wales,2469,-28.78796465,152.6520086,Page,Kyogle,Northern Rivers,Outer Regional Australia,25 February 2016
Boundary Road,NSW-0216,N/A,New South Wales,2480,-28.83340481,153.384406,Page,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Bourke,NSW-0217,N/A,New South Wales,2840,-30.09008202,145.9367214,Parkes,Bourke,Orana,Very Remote Australia,25 February 2016
Bowling Alley Point,NSW-0218,N/A,New South Wales,2340,-31.39664868,151.1390432,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Bowman,NSW-0219,N/A,New South Wales,2422,-31.93393734,151.8225314,Lyne,Gloucester,Hunter,Outer Regional Australia,25 February 2016
Bowraville,NSW-0220,N/A,New South Wales,2449,-30.64483954,152.8531476,Cowper,Nambucca,Mid North Coast,Outer Regional Australia,25 February 2016
Braemar,NSW-0221,N/A,New South Wales,2575,-34.43005771,150.4836322,Throsby,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Braemar Bay,NSW-0222,N/A,New South Wales,2628,-36.10323032,148.6527704,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Braidwood,NSW-0223,N/A,New South Wales,2622,-35.44686414,149.8007123,Eden-Monaro,Palerang,Southern Inland,Inner Regional Australia,25 February 2016
Braidwood Nerriga Road,NSW-0224,Between Nowra and Durran Durra,New South Wales,2622,-35.11354389,150.3163416,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Brassi,NSW-0225,N/A,New South Wales,2710,-35.52683088,144.6647095,Farrer,Murray,Murray,Outer Regional Australia,25 February 2016
Braunstone,NSW-0226,N/A,New South Wales,2460,-29.8031389,152.9601017,Cowper,Clarence Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Bray Park,NSW-0227,N/A,New South Wales,2484,-28.34139926,153.3735911,Richmond,Tweed,Northern Rivers,Inner Regional Australia,25 February 2016
Breadalbane,NSW-0228,N/A,New South Wales,2581,-34.7886917,149.48763,Hume,Upper Lachlan Shire,Southern Inland,Inner Regional Australia,25 February 2016
Bredbo,NSW-0229,N/A,New South Wales,2626,-35.96147138,149.1500614,Eden-Monaro,Cooma-Monaro,Southern Inland,Inner Regional Australia,25 February 2016
Breeza,NSW-0230,N/A,New South Wales,2381,-31.24791465,150.4680779,New England,Gunnedah,Northern Inland,Outer Regional Australia,25 February 2016
Bretti,NSW-0231,N/A,New South Wales,2422,-31.78401353,151.9163397,Lyne,Gloucester,Hunter,Outer Regional Australia,25 February 2016
Brewarrina,NSW-0232,N/A,New South Wales,2839,-29.96058763,146.8577348,Parkes,Brewarrina,Orana,Very Remote Australia,25 February 2016
Bribbaree,NSW-0233,N/A,New South Wales,2594,-34.12126145,147.884182,Hume,Young,Southern Inland,Outer Regional Australia,25 February 2016
Bridgman,NSW-0234,N/A,New South Wales,2330,-32.45274079,151.1846546,Hunter,Singleton,Hunter,Inner Regional Australia,25 February 2016
Brindabella Place,NSW-0235,N/A,New South Wales,2620,-35.393968,149.306131,Eden-Monaro,Palerang,Southern Inland,Inner Regional Australia,25 February 2016
Brindabella Valley,NSW-0236,N/A,New South Wales,2611,-35.38624071,148.7461212,Riverina,Tumut Shire,Southern Inland,Outer Regional Australia,25 February 2016
Bringenbrong,NSW-0237,N/A,New South Wales,3707,-36.15115036,148.051669,Riverina,Tumbarumba,Southern Inland,Outer Regional Australia,25 February 2016
Broadwater,NSW-0238,N/A,New South Wales,2549,-36.96894794,149.8830834,Eden-Monaro,Bega Valley,South Coast,Outer Regional Australia,25 February 2016
Brocklehurst,NSW-0239,N/A,New South Wales,2830,-32.1791303,148.6217172,Parkes,Dubbo,Orana,Inner Regional Australia,25 February 2016
Brocklesby,NSW-0240,N/A,New South Wales,2642,-35.82182766,146.6809822,Farrer,Greater Hume Shire,Murray,Inner Regional Australia,25 February 2016
Brodies Plains,NSW-0241,N/A,New South Wales,2360,-29.82095024,151.1909036,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Broken Head,NSW-0242,N/A,New South Wales,2481,-28.70348773,153.6125776,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Broken Head Road,NSW-0243,N/A,New South Wales,2481,-28.70011828,153.5983095,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Broken Hill,NSW-0244,N/A,New South Wales,2880,-31.95617288,141.4655296,Farrer,Broken Hill,Far West,Outer Regional Australia,25 February 2016
Brookfield,NSW-0245,N/A,New South Wales,2420,-32.50291192,151.7629369,Paterson,Dungog,Hunter,Inner Regional Australia,25 February 2016
Brooklyn,NSW-0246,N/A,New South Wales,2083,-33.54703177,151.2262076,Berowra,Hornsby,Sydney,Inner Regional Australia,25 February 2016
Brooms Head,NSW-0247,N/A,New South Wales,2463,-29.60766218,153.3361969,Cowper,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Brown Mountain,NSW-0248,N/A,New South Wales,2631,-36.59917762,149.3852269,Eden-Monaro,Cooma-Monaro,Southern Inland,Outer Regional Australia,25 February 2016
Brucedale,NSW-0249,N/A,New South Wales,2650,-35.04162472,147.4120783,Riverina,Wagga Wagga,Riverina,Inner Regional Australia,25 February 2016
Brumby Plains,NSW-0250,N/A,New South Wales,2476,-28.46293411,152.6573847,Page,Kyogle,Northern Rivers,Outer Regional Australia,25 February 2016
Brungle,NSW-0251,N/A,New South Wales,2722,-35.14566936,148.2280491,Riverina,Tumut Shire,Southern Inland,Inner Regional Australia,25 February 2016
Brunswick Heads,NSW-0252,N/A,New South Wales,2483,-28.5401605,153.5499976,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Brush Creek Road,NSW-0253,N/A,New South Wales,2259,-33.168916,151.277431,Dobell,Wyong,Central Coast,Inner Regional Australia,25 February 2016
Brushy Creek,NSW-0254,N/A,New South Wales,2365,-30.16295023,151.4794909,New England,Guyra,Northern Inland,Outer Regional Australia,25 February 2016
Bruxner Highway,NSW-0255,Between Casino and Tenterfield,New South Wales,2372,-28.92297923,152.2454068,New England,Tenterfield,Northern Inland,Outer Regional Australia,25 February 2016
Bruxner Highway,NSW-0256,Between Gap Road and Uralba Road intersections,New South Wales,2477,-28.86452266,153.4884014,Page,Ballina,Northern Rivers,Inner Regional Australia,25 February 2016
Bruxner Highway,NSW-0257,Between Tabulam and Drake,New South Wales,2469,-28.89445842,152.492314,New England,Tenterfield,Northern Inland,Outer Regional Australia,25 February 2016
Bruxner Highway,NSW-0258,Between Tenterfield and Goondwindi,New South Wales,2361,-28.93797857,151.2225109,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Bucca Wauka,NSW-0259,N/A,New South Wales,2429,-32.10185,152.150065,Lyne,Greater Taree,Mid North Coast,Inner Regional Australia,25 February 2016
Buchanan,NSW-0260,N/A,New South Wales,2323,-32.82933676,151.5300876,Hunter,Cessnock,Hunter,Major Cities of Australia,25 February 2016
Buckenderra,NSW-0261,N/A,New South Wales,2630,-36.17944913,148.7637024,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Buckenderra Road,NSW-0262,N/A,New South Wales,2630,-36.19233454,148.7719452,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Bucketts Way,NSW-0263,Between Gloucester and Krambach,New South Wales,2422,-32.00544549,152.111105,Lyne,Gloucester,Hunter,Inner Regional Australia,25 February 2016
Bucketts Way,NSW-0264,Between Gloucester and Twelve Mile Creek,New South Wales,2422,-32.20171006,151.9396598,Paterson,Great Lakes,Hunter,Outer Regional Australia,25 February 2016
Bucketty,NSW-0265,N/A,New South Wales,2250,-33.10860942,151.1367943,Hunter,Cessnock,Hunter,Inner Regional Australia,25 February 2016
Buddigower,NSW-0266,N/A,New South Wales,2669,-34.0423562,147.0110294,Riverina,Bland,Central West,Outer Regional Australia,25 February 2016
Bukkulla,NSW-0267,N/A,New South Wales,2360,-29.50161945,151.1283271,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Bukkulla-The Pocket Road,NSW-0268,Between Bukkulla and Pindari Road,New South Wales,2361,-29.4515186,151.1964685,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Bulga,NSW-0269,N/A,New South Wales,2330,-32.65154774,151.0201283,Hunter,Singleton,Hunter,Inner Regional Australia,25 February 2016
Bulga Forest,NSW-0270,N/A,New South Wales,2429,-31.58613265,152.1801778,Lyne,Greater Taree,Mid North Coast,Outer Regional Australia,25 February 2016
Bulgary,NSW-0271,N/A,New South Wales,2650,-35.02709927,146.9493248,Riverina,Wagga Wagga,Riverina,Outer Regional Australia,25 February 2016
Bulli Pass,NSW-0272,N/A,New South Wales,2515,-34.31729951,150.8954797,Cunningham,Wollongong,Illawarra,Major Cities of Australia,25 February 2016
Bumbaldry,NSW-0273,N/A,New South Wales,2794,-33.90892775,148.4434281,Hume,Weddin,Central West,Outer Regional Australia,25 February 2016
Bundanoon,NSW-0274,N/A,New South Wales,2578,-34.65585858,150.29867,Hume,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Bundarra,NSW-0275,N/A,New South Wales,2359,-30.17143582,151.0749736,New England,Uralla,Northern Inland,Outer Regional Australia,25 February 2016
Bundarra Barraba Road,NSW-0276,Between Bundurra and Woodsreef,New South Wales,2359,-30.21200034,150.9740633,New England,Uralla,Northern Inland,Outer Regional Australia,25 February 2016
Bundarra Road,NSW-0277,Between Armidale and Bundarra,New South Wales,2350,-30.49415426,151.4877375,New England,Uralla,Northern Inland,Outer Regional Australia,25 February 2016
Bundarra-Barraba Road,NSW-0278,Between Barraba and Bundarra,New South Wales,2359,-30.22117066,150.8485886,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Bundeena,NSW-0279,N/A,New South Wales,2230,-34.08306745,151.1515462,Cunningham,Sutherland Shire,Sydney,Inner Regional Australia,25 February 2016
Bungarby,NSW-0280,N/A,New South Wales,2630,-36.6831238,149.0096972,Eden-Monaro,Bombala,Southern Inland,Outer Regional Australia,25 February 2016
Bungendore,NSW-0281,N/A,New South Wales,2621,-35.25375885,149.4404553,Eden-Monaro,Palerang,Southern Inland,Inner Regional Australia,25 February 2016
Bungonia,NSW-0282,N/A,New South Wales,2580,-34.8536008,149.9435025,Hume,Goulburn Mulwaree,Southern Inland,Inner Regional Australia,25 February 2016
Bungonia National Park,NSW-0283,N/A,New South Wales,2580,-34.81374548,150.0006595,Hume,Goulburn Mulwaree,Southern Inland,Inner Regional Australia,25 February 2016
Bungwahl,NSW-0284,N/A,New South Wales,2423,-32.38568651,152.4463349,Paterson,Great Lakes,Hunter,Inner Regional Australia,25 February 2016
Bunnaloo,NSW-0285,N/A,New South Wales,2731,-35.78873526,144.5954231,Farrer,Murray,Murray,Outer Regional Australia,25 February 2016
Bunnan,NSW-0286,N/A,New South Wales,2337,-32.03941237,150.5905847,Hunter,Upper Hunter Shire,Hunter,Outer Regional Australia,25 February 2016
Bunnan Road,NSW-0287,Between Bunnan and Owens Gap,New South Wales,2337,-32.05075576,150.6729841,Hunter,Upper Hunter Shire,Hunter,Outer Regional Australia,25 February 2016
